"total_bill","tip","sex","smoker","day","time","size"
16.99,1.40219867829233,"Female","No","Sun","Dinner",2
10.34,2.16318147272337,"Male","No","Sun","Dinner",3
21.01,3.88712882276159,"Male","No","Sun","Dinner",3
23.68,3.48094210267533,"Male","No","Sun","Dinner",2
24.59,4.48207631811034,"Female","No","Sun","Dinner",4
25.29,4.8707036586618,"Male","No","Sun","Dinner",4
8.77,2.45431512517389,"Male","No","Sun","Dinner",2
26.88,3.31986053321045,"Male","No","Sun","Dinner",4
15.04,2.94550161840394,"Male","No","Sun","Dinner",2
14.78,3.5440801277943,"Male","No","Sun","Dinner",2
10.27,2.23628366020508,"Male","No","Sun","Dinner",2
35.26,5.10816338842269,"Female","No","Sun","Dinner",4
15.42,1.75154543146957,"Male","No","Sun","Dinner",2
18.43,3.65614320465829,"Male","No","Sun","Dinner",4
14.83,3.71283661691006,"Female","No","Sun","Dinner",2
21.58,4.60468632961158,"Male","No","Sun","Dinner",2
10.33,2.10917756562587,"Female","No","Sun","Dinner",3
16.29,4.66780388109852,"Male","No","Sun","Dinner",3
16.97,4.04641970840748,"Female","No","Sun","Dinner",3
20.65,4.02257871804759,"Male","No","Sat","Dinner",3
17.92,4.48848729757126,"Male","No","Sat","Dinner",2
20.29,3.26709687786642,"Female","No","Sat","Dinner",2
15.77,2.94400076274294,"Female","No","Sat","Dinner",2
39.42,8.50438213960268,"Male","No","Sat","Dinner",4
19.82,3.98428912083153,"Male","No","Sat","Dinner",2
17.81,3.18559711653274,"Male","No","Sat","Dinner",4
13.37,2.51804369848687,"Male","No","Sat","Dinner",2
12.69,2.44169903215952,"Male","No","Sat","Dinner",2
21.7,4.4248794994317,"Male","No","Sat","Dinner",2
19.65,3.78704260759987,"Female","No","Sat","Dinner",2
9.55,1.55491317827255,"Male","No","Sat","Dinner",2
18.35,3.23669938819949,"Male","No","Sat","Dinner",4
15.06,3.81990840951912,"Female","No","Sat","Dinner",2
20.69,2.89750399547629,"Female","No","Sat","Dinner",4
17.78,3.564265886629,"Male","No","Sat","Dinner",2
24.06,4.54957078101579,"Male","No","Sat","Dinner",3
16.31,2.38650328551885,"Male","No","Sat","Dinner",3
16.93,3.77919329954777,"Female","No","Sat","Dinner",3
18.69,3.08339225646574,"Male","No","Sat","Dinner",3
31.27,5.84726773251314,"Male","No","Sat","Dinner",3
16.04,3.12789581379388,"Male","No","Sat","Dinner",3
17.46,3.40331022202503,"Male","No","Sun","Dinner",2
13.94,3.58925875282381,"Male","No","Sun","Dinner",2
9.68,1.89370454813354,"Male","No","Sun","Dinner",2
30.4,6.34488699110225,"Male","No","Sun","Dinner",4
18.29,3.48801679960452,"Male","No","Sun","Dinner",2
22.23,5.70419865818694,"Male","No","Sun","Dinner",2
32.4,6.82503880732693,"Male","No","Sun","Dinner",4
28.55,2.37621197416447,"Male","No","Sun","Dinner",3
18.04,3.47031349129975,"Male","No","Sun","Dinner",2
12.54,3.15792160038836,"Male","No","Sun","Dinner",2
